LCS ID,AKR1D1,TIPARP,CYP3A4,HSD17B10,HSD17B8,AKR1C4,PPARGC1A,CYP19A1,SPP1,HSD17B3,ADM,SGPL1,HSD17B6,CYP17A1,SCARB1,SRD5A1,HSD17B11,WNT4,ESR1,HSD17B4,HSD3B1,DHRS9,SHH,HSD3B2,PLEKHA1,SRD5A2
LCS_140A,8.472999999999999,6.303999999999999,11.312000000000001,10.079,7.6160000000000005,7.181,6.422000000000001,3.366,6.755,5.501,6.099,3.943,12.037,4.095,9.401,5.577000000000001,10.472000000000001,3.4739999999999998,5.434,11.082,3.3680000000000003,4.169,3.531,3.924,7.129,4.512
LCS_035A,8.107000000000001,5.732,7.956,9.379,5.02,9.232000000000001,5.065,3.468,11.978,3.458,5.146,3.8539999999999996,10.384,3.61,8.238999999999999,5.82,8.344,4.031000000000001,4.205,10.24,3.265,4.461,3.39,3.275,7.142,4.486000000000001
LCS_132A,8.311,6.035,10.175,8.811,6.053,8.158,6.819,3.2060000000000004,10.833,4.092,5.497000000000001,3.81,11.169,4.552,8.611,8.551,9.567,3.6069999999999998,5.34,10.602,3.1489999999999996,4.18,3.4530000000000003,3.617,6.731,5.546
LCS_205A,5.172000000000001,5.666,7.292000000000001,7.945,4.3919999999999995,4.978,5.733,3.3510000000000004,8.835,3.9610000000000003,6.531000000000001,3.492,5.8260000000000005,5.899,9.749,5.653,8.847000000000001,3.225,3.9560000000000004,10.607999999999999,3.384,4.207,3.3280000000000003,3.835,7.854,4.268
LCS_274A,6.1160000000000005,5.421,6.117999999999999,8.517000000000001,5.974,9.55,7.28,3.412,10.617,5.169,4.018,3.6689999999999996,12.155999999999999,9.671,8.236,7.266,10.141,3.5810000000000004,4.834,11.354000000000001,3.449,4.08,3.283,3.7739999999999996,7.773,4.494
LCS_159A,7.15,6.36,6.669,7.858,4.878,9.469,5.292000000000001,3.741,10.177,5.019,6.462999999999999,3.9760000000000004,7.075,3.5380000000000003,8.706,5.1739999999999995,8.879,3.47,4.052,10.89,3.748,4.49,3.477,3.273,7.8839999999999995,4.704
LCS_150A,9.654,6.721,7.015,7.541,4.961,5.827000000000001,5.192,3.5010000000000003,7.561,5.124,5.643,3.7560000000000002,3.968,3.845,8.834,4.418,9.902999999999999,3.4019999999999997,3.943,9.956,3.3089999999999997,4.13,3.6689999999999996,3.44,8.632,3.778
LCS_014A,5.343999999999999,7.01,6.611000000000001,8.532,6.428,7.9,6.809,3.263,5.004,4.087,3.583,3.9410000000000003,10.741,4.0680000000000005,8.335,7.544,9.582,4.269,3.793,10.614,4.434,4.242,3.7460000000000004,3.718,8.238999999999999,5.117
LCS_227A,9.708,6.733,11.42,9.149,5.285,8.732000000000001,5.869,3.405,5.18,4.973,6.115,3.8280000000000003,11.057,6.409,8.136000000000001,6.968999999999999,9.824,3.227,4.841,11.437999999999999,6.715,5.169,4.026,3.945,6.934,6.841
LCS_283A,6.938,5.1160000000000005,7.928,9.706,6.252999999999999,9.517999999999999,8.521,3.2680000000000002,5.629,3.4610000000000003,4.885,3.5380000000000003,12.044,7.096,9.841000000000001,8.037,9.035,3.391,3.5269999999999997,10.215,3.3689999999999998,4.718,3.7260000000000004,4.321000000000001,8.255,5.273
LCS_162A,10.084,6.492000000000001,6.697,9.195,4.32,10.939,6.56,3.1430000000000002,11.558,4.881,5.314,4.137,10.605,3.551,9.328,5.897,9.551,3.373,3.465,10.421,3.319,4.209,3.4610000000000003,3.3169999999999997,7.526,5.917000000000001
LCS_104A,7.356,6.098,6.507999999999999,9.927999999999999,7.308,10.17,8.079,3.99,5.4670000000000005,3.458,5.245,3.951,11.782,3.657,9.126,5.233,9.789,4.379,3.9130000000000003,10.337,3.213,4.23,3.572,3.373,7.725,5.5329999999999995
LCS_272A,7.865,6.557,12.561,9.499,8.031,9.419,5.832999999999999,3.2,4.79,3.741,4.266,4.288,11.437999999999999,7.851,8.411,8.737,10.107999999999999,3.26,5.103,12.026,3.0780000000000003,4.507,3.7969999999999997,3.467,6.518,6.937
LCS_237A,4.97,8.017999999999999,4.904,9.057,5.937,9.595,4.026,3.366,9.466000000000001,5.106,7.627999999999999,4.506,9.751,3.798,9.708,7.301,9.324,3.2769999999999997,4.478,9.537,3.2889999999999997,3.787,3.2969999999999997,3.542,8.682,3.4819999999999998
LCS_152A,8.216000000000001,6.519,10.974,9.037,6.966,10.431,6.171,3.47,10.225,3.911,4.357,3.73,11.040999999999999,4.279,8.264,7.308,8.837,3.27,6.6770000000000005,11.202,3.471,4.191,3.477,3.4219999999999997,7.941,4.109
LCS_067A,6.462000000000001,4.648,7.0729999999999995,8.138,5.858,9.661,4.628,3.6710000000000003,5.244,4.638999999999999,4.191,3.457,8.578,4.727,8.183,5.57,8.126,3.2680000000000002,3.6639999999999997,9.966000000000001,3.093,4.117,3.6919999999999997,3.292,8.554,4.33
LCS_209A,6.226,5.827000000000001,4.543,6.455,4.456,7.077000000000001,3.6,3.483,9.559,4.9639999999999995,7.232,4.098,5.354,4.0969999999999995,6.28,6.513,9.627,3.85,5.71,10.635,4.694,4.2139999999999995,3.987,5.006,5.885,5.184
LCS_065A,5.03,6.629,5.44,8.507,4.249,8.405,5.524,3.952,12.299000000000001,5.207000000000001,8.84,4.181,9.539,3.5439999999999996,7.973,4.189,9.798,3.458,4.355,9.834,3.016,4.397,4.137,3.665,7.232,3.801
